grupo,n,accuracy,precision,recall,f1_score,taxa_positivos_reais,taxa_positivos_previstos,falsos_positivos,falsos_negativos,taxa_falsos_positivos,taxa_falsos_negativos
[70-80),5234,0.5865494841421475,0.17095115681233933,0.6353503184713376,0.26941255908170153,0.1199847153228888,0.44593045471914405,1935,229,0.42010421189752495,0.3646496815286624
[60-70),4547,0.6465801627446668,0.1847953216374269,0.5973534971644613,0.28226887003126394,0.11634044424895536,0.37607213547393886,1394,213,0.3469387755102041,0.40264650283553877
[50-60),3457,0.6968469771478161,0.15765352887259396,0.5714285714285714,0.2471264367816092,0.08706971362452993,0.31559155336997397,919,129,0.291191381495564,0.42857142857142855
[80-90),3414,0.5090802577621558,0.1684322033898305,0.75,0.2750865051903114,0.12419449326303457,0.5530169888693615,1570,106,0.5250836120401338,0.25
[40-50),1913,0.705697856769472,0.19903691813804172,0.6595744680851063,0.30579531442663377,0.0982749607945635,0.3256664924202823,499,64,0.2892753623188406,0.3404255319148936
[30-40),725,0.6993103448275862,0.17889908256880735,0.5,0.2635135135135135,0.10758620689655173,0.3006896551724138,179,39,0.27666151468315303,0.5
[90-100),576,0.4965277777777778,0.15384615384615385,0.6486486486486487,0.24870466321243523,0.1284722222222222,0.5416666666666666,264,26,0.5258964143426295,0.35135135135135137
[20-30),324,0.7160493827160493,0.2831858407079646,0.7441860465116279,0.41025641025641024,0.13271604938271606,0.3487654320987654,81,11,0.28825622775800713,0.2558139534883721
[10-20),130,0.9307692307692308,0.2,0.16666666666666666,0.18181818181818182,0.046153846153846156,0.038461538461538464,4,5,0.03225806451612903,0.8333333333333334
[0-10),34,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
