feature,importance
num__number_inpatient,0.17338450277885792
cat__discharge_disposition_id_1,0.06800844737893944
num__number_emergency,0.05898056143156603
cat__discharge_disposition_id_22,0.0547140814679558
cat__discharge_disposition_id_11,0.049213886547372174
num__num_medications,0.033195010987318994
num__number_diagnoses,0.03060813893863695
num__time_in_hospital,0.026675123189295793
cat__discharge_disposition_id_3,0.026388446648541203
cat__diag_2_250,0.01832878378255559
cat__diag_3_250,0.01739244012588089
cat__discharge_disposition_id_5,0.01554346458287997
num__number_outpatient,0.015075924071062227
num__num_lab_procedures,0.013936079457862176
cat__insulin_Down,0.013588876980722177
cat__insulin_No,0.012937515792726558
cat__metformin_No,0.012038082266166258
cat__diag_1_V58,0.010944603926660431
cat__diag_3_401,0.010485356291352145
cat__diabetesMed_Yes,0.010081861769531974
cat__diag_2_401,0.009933350438092601
cat__diabetesMed_No,0.009475388057141518
cat__diag_1_250.6,0.008978525615096445
cat__diag_1_786,0.00881718292043154
cat__metformin_Steady,0.008030937948243435
cat__discharge_disposition_id_2,0.00798504179562634
cat__diag_1_428,0.007691432061047802
cat__discharge_disposition_id_6,0.007216239224227343
cat__diag_3_272,0.006264258665220157
num__num_procedures,0.006215703813062905
cat__A1Cresult_Unknown,0.0061719640279969575
cat__diag_3_585,0.005743053538323178
cat__age_[50-60),0.00543250433491924
cat__diag_3_403,0.005337494003552311
cat__admission_source_id_7,0.00532374217288394
cat__diag_3_Unknown,0.005288101058046432
cat__diag_2_403,0.0052571269696651424
cat__diag_1_434,0.004997884008090607
cat__diag_3_250.6,0.004956595827390524
cat__admission_type_id_1,0.004620228323626154
cat__discharge_disposition_id_28,0.004289938364819569
cat__change_No,0.004272731951607959
cat__change_Ch,0.004114195818152812
cat__insulin_Up,0.003959277537642727
cat__age_[80-90),0.00364591752264671
cat__diag_2_272,0.0034267907610636746
cat__age_[20-30),0.0034116758719022434
cat__diag_2_250.6,0.0030484011038288835
cat__diag_1_486,0.0030240920301295945
cat__race_Unknown,0.0029090522019271114
cat__diag_1_250.7,0.0028678396993018383
cat__admission_source_id_1,0.0028524996997391985
cat__diag_3_536,0.002726141967594576
cat__diag_1_820,0.002711101124904124
cat__age_[70-80),0.0025772227444638895
cat__age_[10-20),0.0024633624816917526
cat__insulin_Steady,0.002440438284451216
cat__max_glu_serum_Unknown,0.002384725879817714
cat__A1Cresult_>8,0.0022899264280592897
cat__diag_2_585,0.002216833468220707
cat__admission_type_id_3,0.002175870849607301
cat__diag_1_440,0.0021465301152218627
cat__diag_2_648,0.002124690873612497
cat__race_Caucasian,0.0021087272105623114
cat__diag_1_414,0.0020770158412146524
cat__discharge_disposition_id_13,0.0019798789272731272
cat__diag_1_V57,0.001961987340804271
cat__diag_2_440,0.00186948108251974
cat__discharge_disposition_id_18,0.0018674999789881532
