feature,importance_mean,importance_std
number_inpatient,0.02840442343934484,0.0065333890821518146
discharge_disposition_id,0.027457713195317913,0.0038512394762372937
metformin,0.00905887373395593,0.0010646181216640797
number_emergency,0.00785518393649608,0.0014285103123700277
diag_3,0.007024854873115227,0.0030823849908986124
diag_1,0.005746118820789847,0.002562835662249414
num_medications,0.004542726796966023,0.005614872669429113
age,0.004009555906526285,0.0016892168219304379
diag_2,0.003034388294373602,0.0017156200998009812
number_diagnoses,0.0028472347142620923,0.0023488951884799623
admission_type_id,0.00250114637805654,0.0015766016308750661
A1Cresult,0.0018943473473866824,0.0016996842923440861
admission_source_id,0.0015246939506703638,0.0013048738178195963
time_in_hospital,0.0014690892181249526,0.0024468489870902227
race,0.0014517185916733343,0.000838439369547921
max_glu_serum,0.0012392949927163444,0.0012086911852342505
diabetesMed,0.0011808091366579232,0.0028347703930503326
insulin,0.0010394617528150518,0.0038322342349600674
repaglinide,0.0010319055430730085,0.00011262800354430879
glimepiride,0.0009400876949915427,0.0007404563034494326
num_procedures,0.000697635045047762,0.0013526420821801442
gender,0.00032866113610825477,0.0008981532185865967
rosiglitazone,0.0003208492022634624,0.00028512459285126015
acarbose,0.0,0.0
troglitazone,0.0,0.0
metformin-pioglitazone,0.0,0.0
metformin-rosiglitazone,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
glipizide-metformin,0.0,0.0
citoglipton,0.0,0.0
examide,0.0,0.0
tolazamide,0.0,0.0
chlorpropamide,0.0,0.0
miglitol,0.0,0.0
tolbutamide,0.0,0.0
acetohexamide,0.0,0.0
nateglinide,0.0,0.0
glyburide-metformin,-7.148203647633355e-05,8.754725757101602e-05
number_outpatient,-8.798621316871146e-05,0.002208869900438916
glipizide,-9.119896366619474e-05,0.0006993554828365335
change,-0.00022191386772587584,0.0008355168152357587
pioglitazone,-0.00028640471943667254,0.00033183208386444274
glyburide,-0.0007162513460319375,0.00019647451631345567
num_lab_procedures,-0.0010014204103576674,0.0023331775159605144
