feature,coefficient,abs_coefficient
cat__discharge_disposition_id_11,-5.059147040295492,5.059147040295492
cat__diag_2_807,-2.0619356843091685,2.0619356843091685
cat__diag_3_537,-2.0542099233032673,2.0542099233032673
cat__diag_3_736,-1.8426318721792077,1.8426318721792077
cat__diag_2_429,-1.8404966541522234,1.8404966541522234
cat__diag_2_999,-1.838083184910742,1.838083184910742
cat__diag_2_481,-1.8222023326761654,1.8222023326761654
cat__diag_1_304,-1.817741264039751,1.817741264039751
cat__diag_2_289,-1.7765058192824938,1.7765058192824938
cat__diag_2_782,-1.7270228744915532,1.7270228744915532
cat__diag_1_135,-1.7195016316567437,1.7195016316567437
cat__diag_2_519,-1.7154592153286947,1.7154592153286947
cat__diag_2_275,-1.7070528139628298,1.7070528139628298
cat__diag_2_327,-1.7058306663613267,1.7058306663613267
cat__diag_3_V27,-1.6729404296710055,1.6729404296710055
