feature,coefficient,abs_coefficient
cat__diag_1_356,2.2580850749520303,2.2580850749520303
cat__diag_3_602,2.103580372900469,2.103580372900469
cat__diag_1_643,2.0327579733270214,2.0327579733270214
cat__diag_3_250.91,1.9982010861037058,1.9982010861037058
cat__diag_2_136,1.9845056226186362,1.9845056226186362
cat__diag_3_156,1.9623104802310316,1.9623104802310316
cat__diag_1_646,1.93795657813525,1.93795657813525
cat__discharge_disposition_id_15,1.9104248565802118,1.9104248565802118
cat__diag_3_V60,1.8703713307306284,1.8703713307306284
cat__diag_1_271,1.840066276380627,1.840066276380627
cat__diag_1_263,1.8083478918679088,1.8083478918679088
cat__diag_3_755,1.7394081302503863,1.7394081302503863
cat__diag_2_826,1.7209245549685608,1.7209245549685608
cat__diag_2_V18,1.7197108668703642,1.7197108668703642
cat__discharge_disposition_id_28,1.71339379474216,1.71339379474216
